away_team,home_team,spread
49ers,Eagles,Eagles +2.5
Chiefs,Packers,Packers +6.5
Bengals,Jaguars,Jaguars -8.5
Buccaneers,Falcons,Falcons -1.5
Lions,Bears,Bears +3
Colts,Bengals,Bengals -2
Jaguars,Browns,Browns -3
Panthers,Saints,Saints -5
Texans,Jets,Jets +3.5
Rams,Ravens,Ravens -7.5
Vikings,Raiders,Raiders +3.0
Seahawks,49ers,49ers -11
Bills,Chiefs,Chiefs -1.5
Broncos,Chargers,Chargers -3
Eagles,Cowboys,Cowboys -3.5
Titans,Dolphins,Dolphins -13
Packers,Giants,Giants +6.5
Vikings,Bengals,Bengals -3
Steelers,Colts,Colts -1.5
Broncos,Lions,Lions -4.5
Bears,Browns,Browns -3
Buccaneers,Packers,Packers -3.5
Texans,Titans,Titans -4
Jets,Dolphins,Dolphins -9.5
Chiefs,Patriots,Patriots +8
Giants,Saints,Saints -5.5
Falcons,Panthers,Panthers +3
Commanders,Rams,Rams -6.5
49ers,Cardinals,Cardinals +12.5
Cowboys,Bills,Bills -2
Ravens,Jaguars,Jaguars +3
Eagles,Seahawks,Seahawks +3
Saints,Rams,Rams -4
Bengals,Steelers,Steelers +2.5
Bills,Chargers,Chargers +13.5
Browns,Texans,Texans -2.5
Lions,Vikings,Vikings +3
Packers,Panthers,Panthers +4.5
Colts,Falcons,Falcons +2
Seahawks,Titans,Titans +2.5
Commanders,Jets,Jets -3
Jaguars,Buccaneers,OFF
Cardinals,Bears,Bears -4.5
Cowboys,Dolphins,Dolphins -1.5
Patriots,Broncos,Broncos -5.5
Raiders,Chiefs,Chiefs -10
Giants,Eagles,Eagles -10.5
Ravens,49ers,49ers -5.5
Jets,Browns,Browns -5.5
Lions,Cowboys,Cowboys -5.5
Cardinals,Eagles,Eagles -10
Falcons,Bears,Bears -3
Panthers,Jaguars,Jaguars -9
Rams,Giants,Giants +6
Raiders,Colts,Colts -3
Dolphins,Ravens,Ravens -3
Patriots,Bills,Bills -13.5
Saints,Buccaneers,Buccaneers -2
49ers,Commanders,Commanders +13.5
Titans,Texans,Texans -4.5
Steelers,Seahawks,Seahawks -3.5
Bengals,Chiefs,Chiefs -7.5
Chargers,Broncos,Broncos -6.5
Packers,Vikings,Vikings -2
