home_team,away_team,points_home,points_away,id
Jets,Chargers,6,27,131
Patriots,Colts,6,10,133
Bengals,Texans,27,30,134
Ravens,Browns,31,33,135
Jaguars,49ers,3,34,137
Chargers,Lions,38,41,140
Bills,Broncos,22,24,145
Panthers,Cowboys,10,33,147
Commanders,Giants,19,31,154
Chiefs,Eagles,17,21,159
Lions,Packers,22,29,160
Seahawks,49ers,13,31,162
Jets,Dolphins,13,34,163
Bengals,Steelers,10,16,166
Texans,Jaguars,21,24,168
Cardinals,Rams,14,37,171
Raiders,Chiefs,17,31,172
Chargers,Ravens,10,20,174
Vikings,Bears,10,12,175
Jets,Falcons,8,13,177
Titans,Colts,28,31,178
Saints,Lions,28,33,180
Commanders,Dolphins,15,45,181
Patriots,Chargers,0,6,182
Steelers,Cardinals,10,24,183
Eagles,49ers,19,42,186
Jaguars,Bengals,31,34,188
Steelers,Patriots,18,21,189
Falcons,Buccaneers,25,29,190
Raiders,Vikings,0,3,197
Chiefs,Bills,17,20,199
Chargers,Broncos,7,24,200
Dolphins,Titans,27,28,203
Chiefs,Lions,20,21,206
Packers,Buccaneers,20,34,215
Titans,Texans,16,19,216
Patriots,Chiefs,17,27,217
Cardinals,49ers,29,45,220
Jaguars,Ravens,7,23,223
Chargers,Bills,22,24,227
Panthers,Packers,30,33,229
Texans,Browns,22,36,230
Vikings,Lions,24,30,231
Titans,Seahawks,17,20,233
Broncos,Patriots,23,26,237
Chiefs,Raiders,14,20,238
49ers,Ravens,19,33,240
Eagles,Cardinals,31,35,247
Buccaneers,Saints,13,23,250
Giants,Rams,25,26,251
Commanders,49ers,10,27,252
Seahawks,Steelers,23,30,253
Vikings,Packers,10,33,256
Saints,Falcons,,,257
Bengals,Browns,,,258
Colts,Texans,,,259
Titans,Jaguars,,,260
Lions,Vikings,,,261
Patriots,Jets,,,262
Ravens,Steelers,,,263
Panthers,Buccaneers,,,264
Packers,Bears,,,265
Commanders,Cowboys,,,266
Raiders,Broncos,,,267
Chargers,Chiefs,,,268
Giants,Eagles,,,269
49ers,Rams,,,270
Cardinals,Seahawks,,,271
Dolphins,Bills,,,272
